USA-DET,USA-BOS
USA-ATL
USA-SFO,USA-KAN,USA-DEN,USA-COO,USA-SEA,USA-SAT,USA-OKL
USA-HOU,USA-PHX,USA-AUT,USA-SAN
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-LEK
USA-CRS,USA-CTN,USA-STL,USA-RAL,USA-LAX,USA-CUO,USA-CLE,USA-RON,USA-NAS
USA-DAL,USA-CHI
USA-JCS,USA-HON,USA-IOW,USA-BOI,USA-ANC,USA-LIN,USA-POR
USA-MIW,USA-PIT,USA-NEO,USA-CIN,USA-IDO,USA-TPA,USA-BIR
USA-MIN,USA-WAS,USA-NYM,USA-PHI,USA-SLT,USA-ORL
