USA-JCS,USA-HON,USA-IOW,USA-TLS,USA-ANC,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-LAX,USA-OMA,USA-LIN
USA-MIW,USA-JAF,USA-MAW,USA-BOI,USA-BIR,USA-LIT,USA-RON,USA-LEK
USA-DAL,USA-CHI
USA-ORL
USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-MIN,USA-PIT,USA-NEO,USA-HOU,USA-WAS,USA-NYM,USA-PHI,USA-SLT
USA-PHX,USA-CRS,USA-AUT,USA-CTN,USA-RAL,USA-SAN,USA-NAS
USA-SFO,USA-KAN,USA-DEN,USA-COO,USA-SEA,USA-SAT,USA-OKL,USA-POR
USA-ATL
USA-DET,USA-BOS
