USA-HOU,USA-PHI,USA-AUT,USA-ORL,USA-SAN
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-LEK
USA-BOI,USA-ANC,USA-POR
USA-MIW,USA-CRS,USA-CTN,USA-BIR,USA-RON,USA-NAS
USA-SFO,USA-MIN,USA-PIT,USA-KAN,USA-WAS,USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-SLT,USA-CLE
USA-DEN,USA-PHX
USA-DET,USA-BOS,USA-CHI
USA-NEO,USA-NYM,USA-DAL,USA-ATL
USA-COO,USA-SEA,USA-SAT,USA-OKL,USA-LAX
USA-JCS,USA-HON,USA-IOW,USA-RAL,USA-LIN
