USA-SFO,USA-MIN,USA-PIT,USA-WAS,USA-NYM,USA-DET,USA-SLT,USA-BOS
USA-CHI
USA-KAN,USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-NEO,USA-HOU,USA-PHI,USA-ATL
USA-MIW,USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-BIR,USA-VIR,USA-OMA,USA-LIT,USA-RON,USA-LEK
USA-JCS,USA-HON,USA-IOW,USA-BOI,USA-ANC,USA-LIN,USA-POR
USA-PHX,USA-CRS,USA-AUT,USA-CTN,USA-ORL,USA-NAS
USA-DAL
USA-RAL,USA-LAX,USA-CUO,USA-CLE,USA-SAN
USA-DEN,USA-COO,USA-SEA,USA-SAT,USA-OKL
