USA-DAL,USA-CHI
USA-JCS,USA-MIW,USA-CRS,USA-CTN,USA-RAL,USA-BIR,USA-LAX,USA-RON,USA-NAS
USA-PHX,USA-AUT,USA-ORL
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-OKL,USA-VIR,USA-OMA,USA-LIT,USA-LEK
USA-HON,USA-IOW,USA-BOI,USA-COO,USA-ANC,USA-SEA,USA-LIN,USA-POR
USA-DET,USA-BOS
USA-HOU,USA-PHI,USA-SAN
USA-NEO,USA-ATL
USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-SFO,USA-MIN,USA-PIT,USA-KAN,USA-DEN,USA-WAS,USA-NYM,USA-SLT
