USA-JCS,USA-HON,USA-IOW,USA-BOI,USA-ANC,USA-RAL,USA-LIN,USA-POR
USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-MIW,USA-NEO,USA-KAN,USA-CRS,USA-CTN,USA-BIR,USA-RON,USA-NAS
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-LEK
USA-COO,USA-SEA,USA-SAT,USA-OKL,USA-LAX
USA-DAL,USA-CHI
USA-SFO,USA-MIN,USA-PIT,USA-WAS,USA-NYM,USA-DET,USA-SLT,USA-BOS
USA-DEN,USA-PHX
USA-ATL
USA-HOU,USA-PHI,USA-AUT,USA-ORL,USA-SAN
