USA-JCS,USA-IOW,USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-LAX,USA-OMA,USA-LIN,USA-LIT,USA-RON
USA-MIW,USA-MIN,USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA,USA-ORL
USA-NEO,USA-DET,USA-ATL,USA-BOS
USA-HOU,USA-SAN,USA-CHI
USA-CRS,USA-AUT,USA-CTN,USA-RAL,USA-CUO,USA-CLE,USA-NAS
USA-SFO,USA-KAN,USA-COO,USA-SEA,USA-OKL,USA-POR
USA-JAF,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-PIT,USA-WAS,USA-NYM,USA-PHI,USA-DAL,USA-SLT
USA-DEN,USA-PHX
USA-HON,USA-BOI,USA-ANC
