USA-MIW,USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-BIR,USA-VIR,USA-LAX,USA-OMA,USA-LIT,USA-RON,USA-LEK
USA-HOU,USA-PHI,USA-SAN,USA-CHI
USA-SFO,USA-MIN,USA-PIT,USA-NEO,USA-WAS,USA-NYM,USA-DET,USA-DAL,USA-SLT,USA-BOS
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-KAN,USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-ATL
USA-DEN,USA-COO,USA-SEA,USA-SAT,USA-OKL
USA-ORL
USA-BOI,USA-ANC,USA-POR
USA-PHX,USA-CRS,USA-AUT,USA-CTN,USA-RAL,USA-CUO,USA-CLE,USA-NAS
