USA-DET,USA-BOS,USA-CHI
USA-MIW,USA-MIN,USA-CRS,USA-AUT,USA-CTN,USA-ORL,USA-RON,USA-NAS
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-BIR,USA-VIR,USA-OMA,USA-LIT,USA-LEK
USA-DEN,USA-PHX
USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-ATL
USA-PIT,USA-NEO,USA-HOU,USA-WAS,USA-NYM,USA-PHI,USA-DAL,USA-SLT
USA-BOI,USA-ANC
USA-SFO,USA-KAN,USA-COO,USA-SEA,USA-OKL,USA-POR
USA-JCS,USA-HON,USA-IOW,USA-RAL,USA-LAX,USA-LIN,USA-SAN
