USA-BOI,USA-ANC,USA-POR
USA-STL,USA-RAL,USA-LAX,USA-CUO,USA-CLE
USA-NYM,USA-DET,USA-DAL,USA-BOS,USA-CHI
USA-MIW,USA-MIN,USA-CIN,USA-IDO,USA-TPA,USA-ORL
USA-PIT,USA-NEO,USA-CRS,USA-CTN,USA-BIR,USA-NAS
USA-SFO,USA-KAN,USA-DEN,USA-WAS,USA-COO,USA-SEA,USA-SAT,USA-OKL,USA-SLT
USA-HOU,USA-PHX,USA-PHI,USA-AUT,USA-SAN
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-RON,USA-LEK
USA-ATL
USA-JCS,USA-HON,USA-IOW,USA-LIN
