USA-HON,USA-BOI,USA-ANC,USA-POR
USA-NEO,USA-HOU,USA-WAS,USA-NYM,USA-PHI,USA-DET,USA-SLT,USA-BOS
USA-DAL,USA-CHI
USA-JCS,USA-IOW,USA-ABU,USA-REN,USA-RAL,USA-VIR,USA-LAX,USA-OMA,USA-LIN,USA-SAN
USA-MIW,USA-JAF,USA-MAW,USA-CRS,USA-AUT,USA-CTN,USA-DES,USA-BIR,USA-LIT,USA-RON,USA-LEK,USA-NAS
USA-SFO,USA-MIN,USA-TLS,USA-KAN,USA-COO,USA-SEA,USA-SAT,USA-OKL
USA-ATL
USA-ORL
USA-PIT,USA-DEN,USA-PHX
USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
