USA-DET,USA-BOS,USA-CHI
USA-HOU,USA-PHI,USA-SAN
USA-PHX,USA-CRS,USA-AUT,USA-CTN,USA-ORL,USA-NAS
USA-JCS,USA-HON,USA-IOW,USA-BOI,USA-ANC,USA-RAL,USA-LIN,USA-POR
USA-ATL
USA-SFO,USA-MIN,USA-PIT,USA-WAS,USA-NYM,USA-DAL,USA-SLT
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-BIR,USA-VIR,USA-OMA,USA-LIT,USA-RON,USA-LEK
USA-SEA,USA-SAT,USA-LAX,USA-CUO,USA-CLE
USA-MIW,USA-NEO,USA-KAN,USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-OKL
USA-DEN,USA-COO
