USA-NEO,USA-DET,USA-ATL,USA-BOS
USA-JCS,USA-JAF,USA-MAW,USA-IOW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-OMA,USA-LIN,USA-LIT,USA-LEK
USA-SFO,USA-MIN,USA-KAN,USA-SEA,USA-LAX,USA-POR
USA-ORL
USA-PIT,USA-WAS,USA-NYM,USA-PHI,USA-SLT
USA-HOU,USA-PHX,USA-AUT,USA-SAN
USA-HON,USA-BOI,USA-ANC
USA-DAL,USA-CHI
USA-MIW,USA-CRS,USA-CTN,USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-RAL,USA-BIR,USA-CUO,USA-CLE,USA-RON,USA-NAS
USA-DEN,USA-COO,USA-SAT,USA-OKL
