USA-ATL
USA-DEN,USA-WAS,USA-COO,USA-SEA,USA-SAT,USA-SLT
USA-DAL,USA-CHI
USA-SFO,USA-JAF,USA-MIN,USA-KAN,USA-NYM,USA-OKL
USA-PHX,USA-AUT,USA-ORL,USA-SAN
USA-JCS,USA-HON,USA-IOW,USA-BOI,USA-ANC,USA-RAL,USA-LIN,USA-POR
USA-DET,USA-BOS
USA-MAW,USA-TLS,USA-ABU,USA-STL,USA-DES,USA-REN,USA-VIR,USA-LAX,USA-OMA,USA-CUO,USA-CLE,USA-LIT,USA-RON,USA-LEK
USA-MIW,USA-NEO,USA-HOU,USA-PHI,USA-CIN,USA-IDO,USA-TPA
USA-PIT,USA-CRS,USA-CTN,USA-BIR,USA-NAS
