USA-SFO,USA-KAN,USA-DEN,USA-COO,USA-SEA,USA-SAT,USA-OKL
USA-HOU,USA-PHX,USA-AUT,USA-SAN
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-BIR,USA-VIR,USA-LAX,USA-OMA,USA-LIT,USA-RON,USA-LEK
USA-MIW,USA-MIN,USA-CRS,USA-CTN,USA-ORL,USA-NAS
USA-ATL
USA-DAL,USA-CHI
USA-DET,USA-BOS
USA-JCS,USA-HON,USA-IOW,USA-BOI,USA-ANC,USA-RAL,USA-LIN,USA-POR
USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-PIT,USA-NEO,USA-WAS,USA-NYM,USA-PHI,USA-SLT
