USA-DAL,USA-CHI
USA-MIW,USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-BIR,USA-VIR,USA-OMA,USA-LIT,USA-RON,USA-LEK
USA-ATL
USA-JCS,USA-HON,USA-IOW,USA-RAL,USA-LAX,USA-LIN,USA-SAN
USA-DEN,USA-COO,USA-SEA,USA-SAT,USA-OKL
USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-PHX,USA-CRS,USA-AUT,USA-CTN,USA-ORL,USA-NAS
USA-BOI,USA-ANC,USA-POR
USA-NEO,USA-HOU,USA-PHI,USA-DET,USA-BOS
USA-SFO,USA-MIN,USA-PIT,USA-KAN,USA-WAS,USA-NYM,USA-SLT
