USA-ORL
USA-HOU,USA-PHX,USA-PHI,USA-AUT,USA-SAN
USA-DEN,USA-COO,USA-SEA,USA-SAT,USA-POR
USA-ATL
USA-DAL,USA-CHI
USA-JCS,USA-HON,USA-IOW,USA-CRS,USA-CTN,USA-STL,USA-RAL,USA-LAX,USA-OMA,USA-CUO,USA-CLE,USA-LIN,USA-RON,USA-NAS
USA-MIW,USA-NEO,USA-CIN,USA-IDO,USA-TPA,USA-OKL
USA-SFO,USA-MIN,USA-PIT,USA-KAN,USA-WAS,USA-NYM,USA-SLT
USA-JAF,USA-MAW,USA-TLS,USA-BOI,USA-ANC,USA-ABU,USA-DES,USA-REN,USA-BIR,USA-VIR,USA-LIT,USA-LEK
USA-DET,USA-BOS
