USA-BOI,USA-ANC,USA-POR
USA-DAL,USA-CHI
USA-COO,USA-SEA,USA-SAT,USA-OKL
USA-DEN,USA-PHX
USA-NEO,USA-HOU,USA-PHI,USA-CIN,USA-IDO,USA-TPA,USA-ATL
USA-ORL
USA-JCS,USA-HON,USA-IOW,USA-DES,USA-REN,USA-RAL,USA-LIN
USA-JAF,USA-MAW,USA-TLS,USA-KAN,USA-AUT,USA-ABU,USA-STL,USA-VIR,USA-LAX,USA-OMA,USA-CUO,USA-CLE,USA-SAN,USA-LIT,USA-RON,USA-LEK
USA-MIW,USA-PIT,USA-CRS,USA-CTN,USA-BIR,USA-NAS
USA-SFO,USA-MIN,USA-WAS,USA-NYM,USA-DET,USA-SLT,USA-BOS
