USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-ANC,USA-ABU,USA-REN,USA-VIR
USA-MIW,USA-NEO,USA-IDO,USA-OKL
USA-HOU,USA-PHI,USA-DET,USA-CIN,USA-TPA
USA-JAF,USA-MAW,USA-TLS,USA-DES,USA-BIR,USA-OMA,USA-LIT,USA-LEK
USA-SFO,USA-MIN,USA-PIT,USA-KAN,USA-WAS,USA-NYM,USA-SLT
USA-PHX
USA-DAL
USA-ORL
USA-BOI,USA-POR
USA-BOS,USA-CHI
USA-ATL
USA-CRS,USA-AUT,USA-CTN,USA-STL,USA-RAL,USA-LAX,USA-CUO,USA-CLE,USA-SAN,USA-RON,USA-NAS
USA-COO,USA-SEA,USA-SAT
USA-DEN
