USA-CHI
USA-HOU,USA-PHI,USA-SAN
USA-JCS,USA-HON,USA-IOW,USA-BOI,USA-ANC,USA-RAL,USA-LIN
USA-DAL
USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-DEN
USA-PHX,USA-AUT
USA-SFO,USA-MIN,USA-PIT,USA-WAS,USA-NYM,USA-SLT
USA-ATL
USA-MIW,USA-NEO,USA-KAN,USA-OKL,USA-BIR,USA-RON,USA-NAS
USA-COO,USA-SEA,USA-LAX,USA-POR
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-LEK
USA-CRS,USA-CTN
USA-DET,USA-BOS
USA-ORL
