USA-PHX,USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-JCS,USA-HON,USA-IOW,USA-BOI,USA-ANC,USA-RAL,USA-LIN
USA-DEN
USA-DAL
USA-MIW,USA-JAF,USA-KAN,USA-OKL,USA-OMA
USA-NEO,USA-HOU,USA-WAS,USA-NYM,USA-PHI,USA-SLT
USA-CHI
USA-MIN,USA-PIT
USA-SFO,USA-LAX,USA-POR,USA-SAN
USA-DET,USA-BOS
USA-ATL
USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-BIR,USA-VIR,USA-LIT,USA-RON,USA-LEK
USA-COO,USA-SEA,USA-SAT
USA-ORL
