USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-LEK
USA-CRS,USA-AUT,USA-CTN,USA-RAL,USA-CUO,USA-CLE,USA-RON,USA-NAS
USA-DET,USA-BOS
USA-CHI
USA-MIN,USA-PIT
USA-BOI,USA-BIR
USA-DEN,USA-PHX
USA-ATL
USA-MIW,USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-NEO,USA-HOU,USA-WAS,USA-NYM,USA-PHI,USA-SLT
USA-JCS,USA-HON,USA-IOW,USA-ANC,USA-LIN
USA-SFO,USA-SEA,USA-LAX,USA-POR,USA-SAN
USA-ORL
USA-DAL
USA-KAN,USA-COO,USA-OKL
