USA-ATL
USA-HOU,USA-PHI
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-DET,USA-BOS
USA-STL,USA-RAL,USA-LAX,USA-OMA,USA-CUO,USA-CLE,USA-SAN
USA-COO,USA-SEA,USA-POR
USA-JCS,USA-HON,USA-IOW,USA-BOI,USA-ANC,USA-LIN
USA-MIW,USA-NEO,USA-CIN,USA-SAT,USA-IDO,USA-TPA,USA-OKL
USA-SFO,USA-MIN,USA-PIT,USA-KAN,USA-WAS,USA-NYM,USA-SLT
USA-PHX
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-BIR,USA-VIR,USA-LIT,USA-RON,USA-LEK
USA-CHI
USA-ORL
USA-DEN
USA-DAL
