USA-MIN,USA-PIT
USA-HOU,USA-PHI,USA-SAN
USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-NEO,USA-ATL
USA-DAL
USA-BOI,USA-ANC,USA-POR
USA-PHX,USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-DEN
USA-SFO,USA-KAN,USA-WAS,USA-COO,USA-SEA,USA-SAT,USA-OKL,USA-SLT
USA-NYM,USA-DET
USA-ORL
USA-JCS,USA-HON,USA-IOW,USA-RAL,USA-LAX,USA-LIN
USA-BOS
USA-MIW,USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-BIR,USA-VIR,USA-OMA,USA-LIT,USA-RON,USA-LEK
USA-CHI
