USA-ORL
USA-PIT
USA-SFO,USA-MIN,USA-WAS,USA-SEA,USA-SAT,USA-SLT
USA-HON,USA-BOI,USA-ANC,USA-POR
USA-ATL
USA-JAF,USA-KAN,USA-OKL
USA-DET,USA-BOS
USA-MIW,USA-NEO,USA-CIN,USA-IDO,USA-TPA,USA-BIR
USA-JCS,USA-MAW,USA-IOW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-OMA,USA-LIN,USA-LIT,USA-RON,USA-LEK
USA-HOU,USA-SAN,USA-CHI
USA-DEN,USA-COO
USA-NYM,USA-PHI
USA-DAL
USA-STL,USA-RAL,USA-LAX,USA-CUO,USA-CLE
USA-PHX,USA-CRS,USA-AUT,USA-CTN,USA-NAS
