USA-DEN,USA-WAS,USA-SAT,USA-SLT
USA-SFO,USA-KAN,USA-COO,USA-SEA,USA-OKL,USA-POR
USA-MIN,USA-PIT
USA-MIW,USA-NEO,USA-CRS,USA-CTN,USA-BIR,USA-RON,USA-NAS
USA-CHI
USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-JCS,USA-HON,USA-IOW,USA-RAL,USA-LAX,USA-LIN
USA-HOU,USA-PHX,USA-PHI,USA-AUT,USA-SAN
USA-BOI,USA-ANC
USA-ATL
USA-DAL
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-LEK
USA-ORL
USA-BOS
USA-NYM,USA-DET
