USA-JCS,USA-HON,USA-IOW,USA-ANC,USA-RAL
USA-MIW,USA-NEO,USA-CRS,USA-AUT,USA-CTN,USA-BIR,USA-RON,USA-NAS
USA-BOI,USA-COO,USA-POR
USA-DEN,USA-PHX
USA-JAF,USA-KAN,USA-OKL,USA-OMA
USA-ATL
USA-SEA,USA-LAX,USA-SAN
USA-ORL
USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-DAL
USA-LIN
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-LIT,USA-LEK
USA-SFO,USA-MIN,USA-PIT,USA-WAS,USA-NYM,USA-DET,USA-SLT,USA-BOS
USA-HOU,USA-PHI
USA-CHI
