USA-NEO,USA-NYM,USA-PHI,USA-SLT
USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-DAL
USA-ATL
USA-BOI,USA-ANC,USA-POR
USA-MIW,USA-JAF,USA-KAN,USA-OKL,USA-OMA
USA-JCS,USA-HON,USA-IOW,USA-RAL,USA-LIN
USA-DEN
USA-COO,USA-SEA,USA-SAT,USA-LAX
USA-HOU,USA-SAN,USA-CHI
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-BIR,USA-VIR,USA-LIT,USA-RON,USA-LEK
USA-DET,USA-BOS
USA-SFO,USA-MIN,USA-PIT,USA-WAS
USA-ORL
USA-PHX,USA-CRS,USA-AUT,USA-CTN,USA-NAS
