USA-BOI,USA-ANC,USA-POR
USA-LAX,USA-SAN
USA-CRS,USA-AUT,USA-CTN,USA-STL,USA-RAL,USA-CUO,USA-CLE,USA-RON,USA-NAS
USA-MIW,USA-NEO,USA-CIN,USA-IDO,USA-TPA,USA-BIR
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-LEK
USA-SFO,USA-MIN,USA-PIT,USA-KAN,USA-WAS,USA-NYM,USA-SLT
USA-PHX
USA-CHI
USA-COO,USA-SEA,USA-SAT,USA-OKL
USA-DAL
USA-DET,USA-BOS
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-DEN
USA-HOU,USA-PHI,USA-ATL
USA-ORL
