USA-ATL
USA-DAL
USA-MIN,USA-PIT,USA-WAS,USA-NYM,USA-PHI,USA-SLT
USA-DET
USA-BOS
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-CHI
USA-MIW,USA-NEO,USA-CIN,USA-IDO,USA-TPA,USA-BIR
USA-SFO,USA-DEN,USA-SEA,USA-SAT
USA-KAN,USA-COO,USA-OKL
USA-ORL
USA-HOU,USA-PHX,USA-AUT,USA-SAN
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-LEK
USA-CRS,USA-CTN,USA-STL,USA-RAL,USA-LAX,USA-CUO,USA-CLE,USA-RON,USA-NAS
USA-BOI,USA-ANC,USA-POR
