USA-SFO,USA-MIN,USA-PIT,USA-KAN,USA-WAS
USA-DET,USA-BOS
USA-COO,USA-SEA,USA-SAT,USA-OKL
USA-CRS,USA-AUT,USA-CTN,USA-RAL,USA-CUO,USA-CLE,USA-NAS
USA-ATL
USA-DEN,USA-PHX
USA-CHI
USA-ORL
USA-DAL
USA-ABU,USA-LAX,USA-SAN
USA-MIW,USA-JAF,USA-MAW,USA-BIR,USA-LIT,USA-RON,USA-LEK
USA-JCS,USA-IOW,USA-TLS,USA-DES,USA-REN,USA-VIR,USA-OMA,USA-LIN
USA-HON,USA-BOI,USA-ANC,USA-POR
USA-NEO,USA-HOU,USA-NYM,USA-PHI,USA-SLT
USA-STL,USA-CIN,USA-IDO,USA-TPA
