USA-ATL
USA-CHI
USA-HOU,USA-PHI,USA-SAN
USA-COO,USA-SEA,USA-SAT,USA-LAX
USA-SFO,USA-MIN,USA-PIT,USA-KAN,USA-WAS,USA-NYM,USA-SLT
USA-DEN
USA-STL,USA-CIN,USA-TPA,USA-RAL,USA-CUO,USA-CLE
USA-CRS,USA-CTN,USA-BIR,USA-RON,USA-NAS
USA-DET,USA-BOS
USA-PHX,USA-AUT
USA-DAL
USA-ORL
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-LEK
USA-MIW,USA-NEO,USA-IDO,USA-OKL
USA-JCS,USA-HON,USA-IOW,USA-BOI,USA-ANC,USA-LIN,USA-POR
