USA-DAL
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-MIW,USA-CIN,USA-SAT,USA-IDO,USA-TPA,USA-OKL
USA-NEO,USA-HOU,USA-NYM,USA-PHI,USA-SLT
USA-STL,USA-RAL,USA-LAX,USA-OMA,USA-CUO,USA-CLE,USA-SAN
USA-DET,USA-BOS
USA-BOI,USA-ANC
USA-CHI
USA-ATL
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-BIR,USA-VIR,USA-LIT,USA-RON,USA-LEK
USA-DEN
USA-COO,USA-SEA,USA-POR
USA-ORL
USA-PHX,USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-SFO,USA-MIN,USA-PIT,USA-KAN,USA-WAS
