USA-PIT,USA-WAS,USA-NYM,USA-PHI,USA-SLT
USA-TLS,USA-ANC,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT
USA-DET,USA-BOS
USA-ORL
USA-JCS,USA-HON,USA-IOW,USA-DES,USA-RAL,USA-LAX,USA-LIN
USA-BOI,USA-BIR
USA-DEN,USA-COO
USA-DAL
USA-CHI
USA-SFO,USA-MIN,USA-KAN,USA-SEA,USA-POR
USA-MIW,USA-JAF,USA-MAW,USA-CRS,USA-CTN,USA-RON,USA-LEK,USA-NAS
USA-NEO,USA-OKL
USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-ATL
USA-HOU,USA-PHX,USA-AUT,USA-SAN
