USA-LAX,USA-SAN
USA-BOI,USA-ANC,USA-POR
USA-CHI
USA-HOU,USA-PHI
USA-ATL
USA-DAL
USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-DEN,USA-COO,USA-SEA,USA-SAT,USA-OKL
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-LEK
USA-BOS
USA-MIW,USA-NEO,USA-CRS,USA-CTN,USA-BIR,USA-RON,USA-NAS
USA-DET
USA-PHX,USA-AUT,USA-ORL
USA-SFO,USA-MIN,USA-PIT,USA-KAN,USA-WAS,USA-NYM,USA-SLT
USA-JCS,USA-HON,USA-IOW,USA-RAL,USA-LIN
