USA-CHI
USA-MIW,USA-JAF,USA-KAN,USA-OKL,USA-OMA
USA-BOI,USA-ANC,USA-POR
USA-DAL
USA-SFO,USA-MIN,USA-PIT,USA-NEO,USA-WAS,USA-NYM,USA-DET,USA-SLT,USA-BOS
USA-HOU,USA-PHI
USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-ATL
USA-PHX,USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-LAX,USA-SAN
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-BIR,USA-VIR,USA-LIT,USA-RON,USA-LEK
USA-LIN
USA-DEN,USA-COO,USA-SEA,USA-SAT
USA-JCS,USA-HON,USA-IOW,USA-RAL
USA-ORL
