USA-HOU,USA-PHI
USA-PHX,USA-CRS,USA-AUT,USA-CTN,USA-RAL,USA-CUO,USA-CLE,USA-NAS
USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-BOI,USA-BIR
USA-ORL
USA-SFO,USA-MIN,USA-PIT,USA-WAS,USA-DET
USA-MIW,USA-JAF,USA-KAN,USA-OKL,USA-OMA
USA-CHI
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-LIT,USA-RON,USA-LEK
USA-ATL
USA-DEN,USA-COO,USA-SEA,USA-SAT
USA-LAX,USA-POR,USA-SAN
USA-DAL
USA-JCS,USA-HON,USA-IOW,USA-ANC,USA-LIN
USA-NEO,USA-NYM,USA-SLT,USA-BOS
