USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-JAF,USA-MAW,USA-TLS,USA-KAN,USA-DES,USA-OMA,USA-LIT,USA-LEK
USA-CHI
USA-MIW,USA-NEO,USA-CRS,USA-AUT,USA-CTN,USA-BIR,USA-RON,USA-NAS
USA-LAX,USA-SAN
USA-BOI,USA-POR
USA-ORL
USA-DAL
USA-SFO,USA-MIN,USA-PIT,USA-WAS,USA-NYM,USA-DET,USA-SLT,USA-BOS
USA-JCS,USA-HON,USA-IOW,USA-RAL,USA-LIN
USA-COO,USA-SEA,USA-SAT,USA-OKL
USA-DEN,USA-PHX
USA-ATL
USA-ANC,USA-ABU,USA-REN,USA-VIR
USA-HOU,USA-PHI
