USA-SFO,USA-MIN,USA-PIT,USA-WAS,USA-NYM,USA-SLT
USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-KAN,USA-COO,USA-OKL
USA-ATL
USA-HOU,USA-PHI,USA-SAN
USA-BOI,USA-ANC,USA-POR
USA-DEN,USA-CUO,USA-CLE
USA-PHX,USA-AUT,USA-ORL
USA-MIW,USA-NEO,USA-CRS,USA-CTN,USA-BIR,USA-RON,USA-NAS
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-LEK
USA-DAL
USA-SEA,USA-SAT,USA-LAX
USA-DET,USA-BOS
USA-JCS,USA-HON,USA-IOW,USA-RAL,USA-LIN
USA-CHI
