USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-HOU,USA-PHI
USA-DAL
USA-PHX
USA-COO,USA-SEA,USA-POR
USA-JAF,USA-ABU,USA-OKL,USA-LAX,USA-OMA,USA-SAN
USA-NEO,USA-ATL
USA-JCS,USA-HON,USA-IOW,USA-BOI,USA-ANC,USA-LIN
USA-ORL
USA-DEN
USA-DET,USA-BOS
USA-SFO,USA-MIN,USA-PIT,USA-KAN,USA-WAS,USA-NYM,USA-SLT
USA-CHI
USA-MIW,USA-MAW,USA-TLS,USA-DES,USA-REN,USA-BIR,USA-VIR,USA-LIT,USA-RON,USA-LEK
USA-CRS,USA-AUT,USA-CTN,USA-RAL,USA-CUO,USA-CLE,USA-NAS
