USA-JAF,USA-KAN,USA-OKL,USA-OMA
USA-JCS,USA-HON,USA-IOW,USA-RAL,USA-LIN
USA-NEO,USA-NYM,USA-SLT,USA-BOS
USA-MIW,USA-CRS,USA-AUT,USA-CTN,USA-BIR,USA-RON,USA-NAS
USA-BOI,USA-ANC,USA-POR
USA-HOU,USA-PHI,USA-SAN
USA-ORL
USA-DAL
USA-DEN,USA-PHX
USA-SFO,USA-MIN,USA-PIT,USA-WAS,USA-DET
USA-COO,USA-SEA,USA-SAT,USA-LAX
USA-CHI
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-LIT,USA-LEK
USA-ATL
USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
