USA-SFO,USA-MIN,USA-PIT,USA-KAN,USA-WAS
USA-BOI,USA-ANC,USA-POR
USA-DAL
USA-COO,USA-SEA,USA-SAT,USA-OKL
USA-ATL
USA-JCS,USA-HON,USA-IOW,USA-RAL,USA-LIN
USA-CRS,USA-CTN,USA-NAS
USA-PHX,USA-AUT,USA-ORL
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-LAX,USA-OMA,USA-LIT,USA-RON
USA-DET,USA-BOS
USA-MIW,USA-JAF,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-DEN
USA-NEO,USA-NYM,USA-PHI,USA-SLT
USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-HOU,USA-SAN,USA-CHI
