USA-DET,USA-BOS
USA-ATL
USA-PHX,USA-AUT,USA-ORL
USA-SFO,USA-MIN,USA-PIT,USA-KAN,USA-WAS,USA-NYM,USA-SLT
USA-NEO,USA-CIN,USA-IDO,USA-TPA
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-ANC,USA-ABU,USA-REN,USA-VIR
USA-DAL
USA-STL,USA-RAL,USA-LAX,USA-OMA,USA-CUO,USA-CLE,USA-SAN
USA-HOU,USA-PHI
USA-DEN,USA-COO,USA-SEA,USA-SAT
USA-BOI,USA-POR
USA-CHI
USA-MIW,USA-JAF,USA-MAW,USA-TLS,USA-DES,USA-OKL,USA-BIR,USA-LIT,USA-RON,USA-LEK
USA-CRS,USA-CTN,USA-NAS
