USA-MIW,USA-JAF,USA-KAN,USA-OKL,USA-OMA
USA-DET,USA-BOS
USA-ORL
USA-CHI
USA-PIT,USA-NEO,USA-WAS,USA-NYM,USA-PHI,USA-SLT
USA-CRS,USA-AUT,USA-CTN,USA-RAL,USA-CUO,USA-CLE,USA-NAS
USA-ATL
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-BIR,USA-VIR,USA-LIT,USA-RON,USA-LEK
USA-DAL
USA-HOU,USA-LAX,USA-SAN
USA-DEN,USA-COO
USA-PHX
USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-SFO,USA-MIN,USA-SEA,USA-POR
USA-JCS,USA-HON,USA-IOW,USA-BOI,USA-ANC,USA-LIN
