USA-NEO,USA-NYM,USA-SLT
USA-MIW,USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-BIR,USA-VIR,USA-OMA,USA-LIT,USA-RON,USA-LEK
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-COO,USA-SEA,USA-SAT,USA-OKL
USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-SFO,USA-MIN,USA-PIT,USA-KAN,USA-WAS
USA-LAX,USA-SAN
USA-DEN,USA-PHX
USA-CRS,USA-AUT,USA-CTN,USA-RAL,USA-CUO,USA-CLE,USA-NAS
USA-BOI,USA-ANC,USA-POR
USA-ORL
USA-DET,USA-BOS
USA-CHI
USA-DAL
USA-HOU,USA-PHI,USA-ATL
