USA-NEO,USA-ATL
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-LAX,USA-OMA,USA-LIT,USA-RON
USA-HOU,USA-PHI,USA-SAN
USA-BOI,USA-ANC,USA-POR
USA-CRS,USA-CTN,USA-NAS
USA-SFO,USA-MIN,USA-PIT,USA-KAN,USA-WAS,USA-NYM,USA-SLT
USA-CHI
USA-DEN
USA-DET,USA-BOS
USA-PHX,USA-AUT,USA-ORL
USA-MIW,USA-JAF,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-COO,USA-SEA,USA-SAT,USA-OKL
USA-JCS,USA-HON,USA-IOW,USA-RAL,USA-LIN
USA-DAL
USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
