USA-ATL
USA-SFO,USA-MIN,USA-PIT,USA-KAN,USA-WAS,USA-NYM,USA-SLT
USA-HOU,USA-PHI
USA-HON,USA-IOW,USA-BOI,USA-ANC,USA-LIN,USA-POR
USA-JCS,USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT
USA-JAF,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-CHI
USA-MIW,USA-NEO,USA-OKL
USA-PHX
USA-DEN,USA-COO,USA-SEA,USA-SAT
USA-CRS,USA-AUT,USA-CTN,USA-RAL,USA-LAX,USA-SAN,USA-RON,USA-NAS
USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-DAL
USA-ORL
USA-DET,USA-BOS
