USA-ABU,4,0,1,7,39,68,0,1,4,90,2,0,0,0,0,0,0,0,0,0,0,7,0,0,21,0,0,0,94,0,0,0,4,0,8,1,0,93,10,0,56,0,0,0,0,2,0,69,0,0,87,46,0,68,0
USA-CTN,0,0,0,32,2,3,0,0,0,0,0,0,0,15,0,99,0,0,0,0,63,0,0,0,28,1,0,0,0,0,0,98,17,1,0,35,11,0,18,0,0,30,0,0,30,0,3,0,0,1,2,45,0,3,19
USA-DET,0,7,0,0,0,0,7,0,0,0,0,2,0,0,6,0,0,0,11,2,0,0,0,0,0,1,88,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,4
USA-CIN,0,2,0,15,0,0,3,0,0,0,4,1,0,0,0,0,0,0,0,1,0,0,0,1,6,0,0,0,0,0,30,0,0,100,4,2,84,0,0,1,0,46,0,0,46,0,1,0,0,96,0,0,0,0,12
USA-DES,6,0,2,28,57,96,0,0,6,77,2,0,0,0,0,0,1,0,0,0,0,0,69,0,46,0,0,0,72,0,0,0,0,0,3,3,0,72,2,0,43,0,0,0,0,5,0,0,0,0,77,38,0,96,0
USA-DAL,0,3,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,6,0,1
USA-REN,9,0,5,8,36,69,0,0,9,90,0,0,0,0,0,0,0,0,0,0,0,10,94,0,22,0,0,0,0,0,0,0,0,0,5,5,0,99,6,0,54,0,0,0,0,7,0,72,0,0,88,47,0,69,0
USA-SEA,0,13,0,0,0,0,8,31,0,0,6,0,28,0,5,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,67,0,7,0,29,0,0,0,21,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
USA-SAT,0,8,0,4,0,0,4,1,0,0,2,0,31,0,6,0,0,59,0,0,0,0,0,0,0,30,0,0,0,67,0,0,0,30,28,0,26,0,14,0,0,13,0,6,13,0,0,0,0,30,0,0,0,0,1
USA-IDO,0,0,0,19,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,6,96,0,0,0,0,30,0,0,96,8,1,81,0,0,0,0,44,0,0,44,0,0,0,0,0,0,0,0,0,16
USA-TPA,0,2,0,15,0,0,3,0,0,0,4,1,0,0,0,0,0,0,0,1,0,0,0,1,6,100,0,0,0,0,30,0,0,0,4,2,84,0,0,1,0,46,0,0,46,0,1,0,0,96,0,0,0,0,12
USA-SLT,0,59,0,1,0,0,61,0,0,0,22,8,7,2,79,0,0,1,90,22,0,0,0,0,0,0,8,2,0,4,6,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,66,0,3,0,0,0,0,0,30
USA-OKL,0,8,0,31,41,3,1,5,0,10,51,0,4,0,2,0,0,37,0,0,0,0,8,0,3,4,1,0,5,29,28,1,2,4,0,0,0,5,3,0,42,0,0,3,0,0,1,3,0,8,7,8,0,3,15
USA-RAL,42,0,42,0,0,0,0,0,43,1,0,0,0,1,0,34,3,0,0,0,29,10,1,35,0,2,0,0,5,0,0,34,35,2,0,0,18,5,44,0,5,52,0,0,52,37,0,3,0,1,0,11,0,0,0
USA-BIR,0,0,0,60,28,49,0,0,0,26,1,0,0,0,0,28,18,0,0,0,6,0,21,28,0,6,0,0,22,0,0,29,0,6,3,0,0,22,0,0,10,0,0,0,0,0,2,46,0,6,31,55,0,49,22
USA-VIR,9,1,4,8,36,69,0,0,8,91,1,0,0,0,0,1,0,0,0,0,1,10,93,0,22,0,0,0,99,0,0,1,0,0,5,5,0,0,5,0,55,0,0,0,0,7,0,72,0,0,89,48,0,69,0
