USA-CHI
USA-DAL
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-BIR,USA-VIR,USA-LIT,USA-RON,USA-LEK
USA-ORL
USA-PHX
USA-HOU,USA-LAX,USA-SAN
USA-ATL
USA-JCS,USA-HON,USA-IOW,USA-BOI,USA-ANC,USA-RAL,USA-LIN
USA-SFO,USA-MIW,USA-JAF,USA-MIN,USA-KAN,USA-OKL,USA-OMA
USA-DEN
USA-PIT,USA-NEO,USA-WAS,USA-NYM,USA-PHI,USA-SLT
USA-COO,USA-SEA,USA-POR
USA-DET,USA-BOS
