USA-JCS,USA-LIN
USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-NEO,USA-NYM,USA-SLT
USA-SFO,USA-MIN,USA-PIT,USA-WAS,USA-DAL
USA-CRS,USA-AUT,USA-CTN,USA-RAL,USA-LAX,USA-SAN,USA-NAS
USA-HOU,USA-PHI,USA-ATL
USA-DEN,USA-COO,USA-SEA,USA-SAT
USA-BOI,USA-BIR
USA-ORL
USA-MIW,USA-JAF,USA-KAN,USA-OKL,USA-OMA
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-LIT,USA-RON,USA-LEK
USA-PHX
USA-CHI
USA-HON,USA-IOW,USA-ANC,USA-POR
USA-DET,USA-BOS
