USA-MIW,USA-NEO,USA-CIN,USA-IDO,USA-TPA
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-LIT,USA-LEK
USA-COO,USA-SEA,USA-SAT,USA-OKL
USA-ORL
USA-HOU,USA-PHI
USA-ATL
USA-ANC,USA-POR
USA-LAX,USA-SAN
USA-KAN,USA-STL,USA-OMA,USA-CUO,USA-CLE
USA-DAL
USA-DET,USA-BOS
USA-SFO,USA-MIN,USA-PIT,USA-WAS,USA-NYM,USA-SLT
USA-DEN,USA-PHX
USA-CHI
USA-BOI,USA-BIR
USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-JCS,USA-HON,USA-IOW,USA-RAL,USA-LIN
