USA-HOU,USA-PHI
USA-CHI
USA-COO,USA-SEA,USA-POR
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-BIR,USA-VIR,USA-LIT,USA-RON,USA-LEK
USA-BOI,USA-ANC
USA-DAL
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-MIW,USA-CIN,USA-SAT,USA-IDO,USA-TPA,USA-OKL
USA-DET
USA-SFO,USA-MIN,USA-PIT,USA-KAN,USA-WAS
USA-DEN
USA-NEO,USA-NYM,USA-SLT
USA-BOS
USA-ATL
USA-ORL
USA-STL,USA-RAL,USA-LAX,USA-OMA,USA-CUO,USA-CLE,USA-SAN
USA-PHX,USA-CRS,USA-AUT,USA-CTN,USA-NAS
