USA-NEO,USA-OKL,USA-SLT
USA-COO,USA-SEA,USA-POR
USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-SFO,USA-MIN,USA-PIT,USA-WAS
USA-DAL
USA-JAF,USA-KAN,USA-NYM
USA-BOS
USA-JCS,USA-HON,USA-IOW,USA-BOI,USA-ANC,USA-RAL,USA-LIN
USA-PHX,USA-AUT
USA-DET
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-LEK
USA-CHI
USA-LAX,USA-SAN
USA-MIW,USA-CRS,USA-CTN,USA-BIR,USA-RON,USA-NAS
USA-ORL
USA-DEN
USA-HOU,USA-PHI,USA-ATL
