USA-DAL
USA-NYM,USA-DET
USA-NEO,USA-OKL,USA-SLT
USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-HOU,USA-PHI
USA-CRS,USA-AUT,USA-CTN,USA-RAL,USA-CUO,USA-CLE,USA-NAS
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-CHI
USA-SFO,USA-MIN,USA-PIT,USA-KAN,USA-WAS
USA-BOS
USA-ATL
USA-MIW,USA-JAF,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-ORL
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-RON
USA-SEA,USA-LAX,USA-SAN
USA-DEN,USA-PHX
USA-BOI,USA-COO,USA-ANC,USA-POR
