USA-DET,USA-BOS
USA-CHI
USA-PIT,USA-WAS,USA-SLT
USA-NEO,USA-OKL
USA-ORL
USA-SFO,USA-JAF,USA-MIN,USA-KAN,USA-NYM
USA-PHX
USA-DAL
USA-CRS,USA-AUT,USA-CTN,USA-RAL,USA-CUO,USA-CLE,USA-NAS
USA-HOU,USA-PHI
USA-MIW,USA-MAW,USA-BIR,USA-LIT,USA-RON,USA-LEK
USA-JCS,USA-IOW,USA-TLS,USA-DES,USA-REN,USA-VIR,USA-OMA,USA-LIN
USA-HON,USA-BOI,USA-ANC,USA-POR
USA-DEN,USA-COO,USA-SEA,USA-SAT
USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-ABU,USA-LAX,USA-SAN
USA-ATL
