USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-DET
USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-MIW,USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-BIR,USA-VIR,USA-OMA,USA-LIT,USA-RON,USA-LEK
USA-PIT
USA-CHI
USA-BOS
USA-DEN
USA-CRS,USA-AUT,USA-CTN,USA-RAL,USA-CUO,USA-CLE,USA-SAN,USA-NAS
USA-COO,USA-OKL
USA-DAL
USA-PHX
USA-BOI,USA-ANC,USA-POR
USA-ORL
USA-SEA,USA-SAT,USA-LAX
USA-NEO,USA-HOU,USA-PHI,USA-ATL
USA-SFO,USA-MIN,USA-KAN,USA-WAS,USA-NYM,USA-SLT
