USA-STL,USA-RAL,USA-OMA,USA-CUO,USA-CLE
USA-HOU,USA-PHI,USA-ATL
USA-DAL
USA-CHI
USA-ORL
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-BIR,USA-VIR,USA-LIT,USA-RON,USA-LEK
USA-SFO,USA-MIN,USA-PIT,USA-WAS
USA-BOI,USA-ANC
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-DEN,USA-COO
USA-BOS
USA-PHX,USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-DET
USA-MIW,USA-NEO,USA-OKL,USA-SLT
USA-JAF,USA-KAN,USA-NYM
USA-SEA,USA-LAX,USA-POR,USA-SAN
