USA-DAL
USA-PHX,USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-HOU,USA-PHI
USA-SFO,USA-MIN,USA-PIT,USA-KAN,USA-WAS
USA-LAX,USA-SAN
USA-BOI,USA-ANC
USA-DEN
USA-NEO,USA-OKL,USA-SLT,USA-BOS
USA-ATL
USA-ORL
USA-NYM,USA-DET
USA-CHI
USA-STL,USA-RAL,USA-OMA,USA-CUO,USA-CLE
USA-MIW,USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-COO,USA-SEA,USA-POR
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-BIR,USA-VIR,USA-LIT,USA-RON,USA-LEK
