USA-ORL
USA-BOI,USA-BIR
USA-LAX,USA-SAN
USA-MIW,USA-NEO,USA-OKL
USA-PHX,USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-JCS,USA-HON,USA-IOW,USA-ANC,USA-RAL,USA-LIN
USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-SFO,USA-MIN,USA-PIT,USA-WAS,USA-NYM,USA-SLT
USA-DET,USA-BOS
USA-DAL
USA-MAW,USA-ABU,USA-REN,USA-VIR,USA-LIT,USA-RON,USA-LEK
USA-CHI
USA-ATL
USA-COO,USA-SEA,USA-POR
USA-JAF,USA-TLS,USA-KAN,USA-DES,USA-OMA
USA-HOU,USA-PHI
USA-DEN
