USA-CHI
USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-ORL
USA-ATL
USA-HOU,USA-LAX,USA-SAN
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-BIR,USA-VIR,USA-LIT,USA-RON,USA-LEK
USA-JCS,USA-HON,USA-IOW,USA-BOI,USA-ANC,USA-LIN
USA-SFO,USA-MIN,USA-SEA,USA-POR
USA-CRS,USA-AUT,USA-CTN,USA-RAL,USA-CUO,USA-CLE,USA-NAS
USA-NEO,USA-WAS,USA-NYM,USA-PHI,USA-SLT
USA-PHX
USA-DET,USA-BOS
USA-MIW,USA-JAF,USA-KAN,USA-OKL,USA-OMA
USA-COO
USA-DEN
USA-PIT
USA-DAL
