USA-CHI
USA-ORL
USA-ATL
USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-SFO,USA-MIN,USA-SEA,USA-POR
USA-PHX
USA-LAX,USA-SAN
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-DET,USA-BOS
USA-MIW,USA-JAF,USA-KAN,USA-OKL,USA-OMA
USA-DAL
USA-HOU,USA-PHI
USA-CRS,USA-AUT,USA-CTN,USA-RAL,USA-CUO,USA-CLE,USA-NAS
USA-BOI,USA-ANC
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-BIR,USA-VIR,USA-LIT,USA-RON,USA-LEK
USA-DEN,USA-COO
USA-PIT,USA-NEO,USA-WAS,USA-NYM,USA-SLT
