USA-DET,USA-BOS
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-DAL
USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-NEO,USA-NYM,USA-PHI,USA-SLT
USA-SEA,USA-SAT,USA-LAX
USA-RAL,USA-CUO,USA-CLE
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-LEK
USA-ORL
USA-CHI
USA-HOU,USA-PHX,USA-AUT,USA-SAN
USA-MIW,USA-CRS,USA-CTN,USA-BIR,USA-RON,USA-NAS
USA-DEN
USA-BOI,USA-ANC,USA-POR
USA-COO,USA-OKL
USA-SFO,USA-MIN,USA-PIT,USA-KAN,USA-WAS
USA-ATL
