USA-PHX
USA-CHI
USA-BOI,USA-BIR
USA-HOU,USA-PHI,USA-ATL
USA-COO,USA-SEA,USA-SAT
USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-JCS,USA-HON,USA-IOW,USA-ANC,USA-RAL
USA-DAL
USA-LIN
USA-DET,USA-BOS
USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-DEN
USA-MIW,USA-NEO,USA-OKL
USA-ORL
USA-LAX,USA-POR,USA-SAN
USA-SFO,USA-MIN,USA-PIT,USA-KAN,USA-WAS,USA-NYM,USA-SLT
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-LEK
