USA-HOU,USA-PHI
USA-COO,USA-SEA,USA-POR
USA-CHI
USA-ATL
USA-SFO,USA-MIN,USA-PIT,USA-KAN,USA-WAS
USA-PHX
USA-BOS
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-BIR,USA-VIR,USA-LIT,USA-RON,USA-LEK
USA-ORL
USA-DAL
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-STL,USA-RAL,USA-LAX,USA-OMA,USA-CUO,USA-CLE,USA-SAN
USA-MIW,USA-NEO,USA-OKL,USA-SLT
USA-NYM,USA-DET
USA-JCS,USA-HON,USA-IOW,USA-BOI,USA-ANC,USA-LIN
USA-DEN
